rse_licensee,rse_name,mysuper_product_name,lifecycle_stage_name,single_strategy_lifecycle_indicator,rse_net_assets_000,proportion_of_total_assets_in_mysuper,rse_total_accounts,strategic_growth_asset_allocation,5_year_net_investment_return_nir_p_a,5_year_nir_relative_to_simple_reference_portfolio_p_a,5_year_nir_relative_to_listed_saa_benchmark_portfolio_p_a,5_year_net_return_50_000_rep_member_p_a,3_year_net_investment_return_nir_p_a,3_year_nir_relative_to_simple_reference_portfolio_p_a,3_year_nir_relative_to_listed_saa_benchmark_portfolio_p_a,3_year_net_return_50_000_rep_member_p_a,administration_fees_disclosed_10_000_account_balance,administration_fees_disclosed_25_000_account_balance,administration_fees_disclosed_50_000_account_balance,administration_fees_disclosed_100_000_account_balance,administration_fees_disclosed_250_000_account_balance,total_fees_disclosed_10_000_account_balance,total_fees_disclosed_25_000_account_balance,total_fees_disclosed_50_000_account_balance,total_fees_disclosed_100_000_account_balance,total_fees_disclosed_250_000_account_balance,rse_adjusted_total_accounts_growth_rate_3_year_average,rse_net_cash_flow_ratio_3_year_average,rse_net_rollover_ratio_3_year_average
AMP Superannuation Limited,AMP Retirement Trust,AMP MySuper No.1,,Single strategy,16657866,0.05,290026,0.72,0.0785,0.0013,0.004,0.0726,0.0911,-0.0043,0.0047,0.0852,0.0154,0.0089,0.0068,0.0057,0.005,0.0177,0.0112,0.0091,0.008,0.0073,0.0039,-0.0646,-0.0435
AMP Superannuation Limited,AMP Superannuation Savings Trust,AFLPA & AFL Industry MySuper,,Lifecycle,55491521,0.35,1501221,,,,,,,,,,,,,,,,,,,,-0.0935,-0.0602,-0.08
AMP Superannuation Limited,AMP Superannuation Savings Trust,AFLPA & AFL Industry MySuper,AFLPA & AFL MySuper 1990s,,,,,0.85,0.085,8.00E-04,-0.0049,0.0814,0.0958,-0.0119,-0.0109,0.0922,0.0073,0.0042,0.0031,0.0026,0.0023,0.0139,0.0108,0.0097,0.0092,0.0089,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,AFLPA & AFL Industry MySuper,AFLPA & AFL MySuper 1980s,,,,,0.85,0.0861,0.0019,-9.00E-04,0.0825,0.0976,-0.0101,-0.0041,0.094,0.0073,0.0042,0.0031,0.0026,0.0023,0.0142,0.0111,0.01,0.0095,0.0092,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,AFLPA & AFL Industry MySuper,AFLPA & AFL MySuper 1970s,,,,,0.8,0.0835,0.0017,-0.0037,0.0798,0.0936,-0.0099,-0.0083,0.09,0.0073,0.0042,0.0031,0.0026,0.0023,0.0144,0.0113,0.0102,0.0097,0.0094,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,AFLPA & AFL Industry MySuper,AFLPA & AFL MySuper 1960s,,,,,0.6,0.0672,-0.0033,-0.0069,0.0635,0.0742,-0.0098,-0.008,0.0706,0.0073,0.0042,0.0031,0.0026,0.0023,0.014,0.0109,0.0098,0.0093,0.009,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,AFLPA & AFL Industry MySuper,AFLPA & AFL MySuper 1950s,,,,,0.48,0.0554,-0.0085,-0.0099,0.0518,0.0609,-0.0119,-0.0092,0.0572,0.0073,0.0042,0.0031,0.0026,0.0023,0.0131,0.01,0.0089,0.0084,0.0081,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,AFLPA & AFL Industry MySuper,AFLPA & AFL MySuper Capital Stable,,,,,0.45,0.0519,-0.009,-0.008,0.0483,0.0566,-0.0113,-0.0048,0.053,0.0073,0.0042,0.0031,0.0026,0.0023,0.0131,0.01,0.0089,0.0084,0.0081,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,AMP MySuper No.2,,Lifecycle,55491521,0.35,1501221,,,,,,,,,,,,,,,,,,,,-0.0935,-0.0602,-0.08
AMP Superannuation Limited,AMP Superannuation Savings Trust,AMP MySuper No.2,AMP MySuper 1990s,,,,,0.85,0.0848,6.00E-04,-0.0052,0.0783,0.0955,-0.0121,-0.0111,0.0894,0.012,0.0065,0.0047,0.0038,0.0033,0.0188,0.0133,0.0115,0.0106,0.0101,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,AMP MySuper No.2,AMP MySuper 1980s,,,,,0.85,0.0858,0.0016,-0.0011,0.0794,0.0973,-0.0103,-0.0043,0.0912,0.012,0.0065,0.0047,0.0038,0.0033,0.0191,0.0136,0.0118,0.0109,0.0104,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,AMP MySuper No.2,AMP MySuper 1970s,,,,,0.8,0.0833,0.0015,-0.0039,0.0768,0.0934,-0.0101,-0.0085,0.0873,0.012,0.0065,0.0047,0.0038,0.0033,0.0193,0.0138,0.012,0.0111,0.0106,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,AMP MySuper No.2,AMP MySuper 1960s,,,,,0.6,0.067,-0.0035,-0.0071,0.0605,0.074,-0.0099,-0.0081,0.0678,0.012,0.0065,0.0047,0.0038,0.0033,0.0189,0.0134,0.0116,0.0107,0.0102,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,AMP MySuper No.2,AMP MySuper 1950s,,,,,0.48,0.0552,-0.0086,-0.0101,0.0488,0.0607,-0.0121,-0.0094,0.0545,0.012,0.0065,0.0047,0.0038,0.0033,0.018,0.0125,0.0107,0.0098,0.0093,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,AMP MySuper No.2,AMP MySuper Capital Stable,,,,,0.45,0.0518,-0.0092,-0.0081,0.0454,0.0565,-0.0114,-0.005,0.0503,0.012,0.0065,0.0047,0.0038,0.0033,0.018,0.0125,0.0107,0.0098,0.0093,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,Anglican National MySuper,,Lifecycle,55491521,0.35,1501221,,,,,,,,,,,,,,,,,,,,-0.0935,-0.0602,-0.08
AMP Superannuation Limited,AMP Superannuation Savings Trust,Anglican National MySuper,ANS MySuper RIL Balanced,,,,,0.7,0.0711,-0.0042,-0.0079,0.0687,0.0842,-0.008,-0.0044,0.0822,0.0036,0.0017,0.001,7.00E-04,5.00E-04,0.0129,0.011,0.0103,0.01,0.0098,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,Anglican National MySuper,ANS MySuper RIL Conservative,,,,,0.34,0.0448,-0.0074,-0.0053,0.0424,0.0472,-0.0061,-0.0028,0.0452,0.0036,0.0017,0.001,7.00E-04,5.00E-04,0.0116,0.0097,0.009,0.0087,0.0085,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,Anglican National MySuper,ANS MySuper RIL Growth,,,,,0.87,0.0779,-0.0071,-0.0085,0.0755,0.097,-0.012,-0.0074,0.0951,0.0036,0.0017,0.001,7.00E-04,5.00E-04,0.0139,0.012,0.0113,0.011,0.0108,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,Anglican National MySuper,ANS MySuper RIL High Growth,,,,,0.98,0.0876,-0.0039,-0.0092,0.0852,0.1101,-0.0103,-0.013,0.1081,0.0036,0.0017,0.001,7.00E-04,5.00E-04,0.0156,0.0137,0.013,0.0127,0.0125,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,Australia Post MySuper,,Lifecycle,55491521,0.35,1501221,,,,,,,,,,,,,,,,,,,,-0.0935,-0.0602,-0.08
AMP Superannuation Limited,AMP Superannuation Savings Trust,Australia Post MySuper,Australia Post MySuper 1990s,,,,,0.85,0.0851,9.00E-04,-0.0048,0.0826,0.0959,-0.0118,-0.0108,0.0935,0.0053,0.0024,0.0015,0.001,7.00E-04,0.0119,0.009,0.0081,0.0076,0.0073,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,Australia Post MySuper,Australia Post MySuper 1980s,,,,,0.85,0.0862,0.002,-8.00E-04,0.0837,0.0977,-0.01,-0.004,0.0952,0.0053,0.0024,0.0015,0.001,7.00E-04,0.0122,0.0093,0.0084,0.0079,0.0076,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,Australia Post MySuper,Australia Post MySuper 1970s,,,,,0.8,0.0836,0.0018,-0.0035,0.0811,0.0937,-0.0098,-0.0082,0.0913,0.0053,0.0024,0.0015,0.001,7.00E-04,0.0124,0.0095,0.0086,0.0081,0.0078,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,Australia Post MySuper,Australia Post MySuper 1960s,,,,,0.6,0.0672,-0.0032,-0.0068,0.0648,0.0742,-0.0097,-0.0079,0.0718,0.0053,0.0024,0.0015,0.001,7.00E-04,0.012,0.0091,0.0082,0.0077,0.0074,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,Australia Post MySuper,Australia Post MySuper 1950s,,,,,0.48,0.0555,-0.0084,-0.0098,0.053,0.0609,-0.0119,-0.0091,0.0585,0.0053,0.0024,0.0015,0.001,7.00E-04,0.0111,0.0082,0.0073,0.0068,0.0065,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,Australia Post MySuper,Australia Post MySuper Capital Stable,,,,,0.45,0.052,-0.009,-0.0079,0.0495,0.0567,-0.0112,-0.0048,0.0543,0.0053,0.0024,0.0015,0.001,7.00E-04,0.0111,0.0082,0.0073,0.0068,0.0065,,,
AMP Superannuation Limited,AMP Superannuation Savings Trust,Brookfield Australia MySuper,,Single strategy,55491521,0.35,1501221,0.7,0.0767,0.0021,0.0017,0.0753,0.0821,-0.0091,7.00E-04,0.0809,9.00E-04,9.00E-04,9.00E-04,9.00E-04,9.00E-04,0.005,0.005,0.005,0.005,0.005,-0.0935,-0.0602,-0.08
AMP Superannuation Limited,AMP Superannuation Savings Trust,CCA MySuper,,Lifecycle,55491521,0.35,1501221,,,,,,,,,,,,,,,,,,,,-0.0935,-0.0602,-0.08
AMP Superannuation Limited,AMP Superannuation Savings Trust,CCA MySuper,CCA MySuper Future Directions Balanced,,,,,0.71,0.0778,0.0027,-8.00E-04,0.0772,0.0846,-0.0073,-0.0051,0.084,2.00E-04,2.00E-04,2.00E-04,2.00E-04,2.00E-04,0.009,0.009,0.009,0.009,0.009,,,
